Toyota,Hendrick Toyota,8/1/2008 7:46,15047,,9505 W 67th St,,Merriam,KS,66203
Toyota,Lewis Toyota-Scion,9/30/2008 17:07,15010,,2951 SW Fairlawn Rd.,,Topeka,KS,66614
GM,Dale Willey Automotive,5/18/2007 14:40,116167,,2840 Iowa St,,Lawrence,KS,66046
GM,Ed Bozarth Chevrolet (Topeka),6/5/2007 13:45,111875,,3731 S Topeka Blvd,,Topeka,KS,66609
GM,McCarthy-Morse Chevrolet,12/11/2006 9:48,111835,,9201 Metcalf,,Overland Park,KS,66212
GM,Scholfield Brothers Inc.,9/28/2007 10:13,116183,,7633 East Kellogg Dr.,,Wichita,KS,67207
Ford,Mike Castrucci Ford Lincoln Mercury of Alexandria,4/22/2010 7:59,,,7400 Alexandria Pike,,Alexandria,KY,41001
Ford,Moore Ford,8/2/2006 9:38,,,1201 South Main Street,,Hartford,KY,42347
Toyota,Don Moore Toyota,2/20/2007 8:12,,,4216 Frederica Street,,Owensboro,KY,42301
Toyota,Green's Toyota of Lexington,3/31/2009 10:06,,,630 E. New Circle Rd.,,Lexington,KY,40505
Toyota,Toyota South,2/2/2009 10:06,16049,,961 Four Mile Rd.,,Richmond,KY,40475
GM,Don Moore Chevrolet-Cadillac,8/7/2006 10:57,111482,,3232 Villa Point,,Owensboro,KY,42303
Mopar,Moore Chrysler Dodge Jeep,8/2/2006 9:37,,,1201 South Main Street,,Hartford,KY,42347
Mopar,Oxmoor Chrysler,10/30/2013 10:33,,,4520 Shelbyville Rd,,Louisville,KY,40207
GM,Brian Harris Chevrolet,8/29/2006 10:45,114280,,15015 Florida Blvd.,,Baton Rouge,LA,70819
GM,Courtesy GMC Pontiac Buick,11/15/2006 10:05,119662,,4750 Johnston Street,,Lafayette,LA,70503
GM,Don Bohn Buick Pontiac GMC,8/9/2007 10:38,116665,,3801 LaPalco Blvd,,Harvey,LA,70058
GM,"Golden Motors, Inc.",4/18/2007 14:39,114298,,15101 Hwy. 3235,,Cut Off,LA,70345
GM,Mossy Motors,6/19/2007 16:28,117618,,1331 S Broad St,,New Orleans,LA,70125
Mopar,Sterling Automotive,12/18/2013 7:39,,,5504 I-49 N Service Rd,,Opelousas,LA,70570
Ford,Colonial Ford of Plymouth,5/10/2013 8:37,,,147 Samoset Street,,Plymouth,MA,2360
Toyota,Toyota of Watertown,10/1/2008 13:02,,,149 Arsenal St.,,Watertown,MA,2472
GM,Colonial West Chevrolet,6/17/2008 13:02,172128,,314 John Fitch Highway,,Fitchburg,MA,1420
GM,Herb Connolly Chevrolet,9/15/2006 10:19,117930,,350 Worcester Road,,Framingham,MA,1702
GM,Imperial Chevrolet,12/3/2007 9:09,114966,,154 E. Main St.,,Milford,MA,1757
GM,Moore GMC Truck Inc,7/13/2007 10:55,119279,,80 High St,,Danvers,MA,1923
GM,Robertsons GMC Truck,9/29/2007 11:21,119291,,2680 Cranberry Highway,,Wareham,MA,2571
Mopar,Clark Chrysler Jeep Dodge Ram,1/2/2014 7:59,,,175 Pelham St,,Methuen,MA,1844
Ford,Preston Ford Lincoln Mercury,6/15/2007 13:16,25,,4313 Preston Rd.,,Hurlock,MD,21643
Toyota,Lakeforest Toyota,7/8/2008 10:24,19052,,907 N. Frederick Ave.,,Gaithersburg,MD,20879
GM,Criswell Chevrolet,1/23/2008 9:54,113713,,503 Quince Orchard Rd,,Gaithersburg,MD,20878
GM,Fitzgerald Auto Mall (Rockville),12/17/2007 12:58,130631,,5501 Nicholson Lane,,Rockville,MD,20852
GM,Fitzgerald Cadillac of Annapolis,9/22/2008 12:11,117038,,34 Hudson St.,,Annapolis,MD,21401
GM,Ourisman Chevrolet,11/30/2006 7:44,113708,,4400 Branch Avenue,,Marlow Heights,MD,20748
Mopar,Fitzgerald Lexington Park Auto Mall,1/21/2011 13:20,,,22231 Three Notch Rd (Rt. 235),,Lexington Park,MD,20653
Mopar,Thompson Chrysler Jeep Dodge,10/29/2013 16:21,,,124 North Point Blvd.,,Baltimore,MD,21224
Mopar,Thompson Jeep of Edgewood,11/7/2013 7:32,,,1102 Business Center Way,,Edgewood,MD,21040
GM,Goodwin Chevrolet-Mazda,9/26/2007 14:47,114990,,P O BOX 160,,Brunswick,ME,4011
Mopar,Lee Dodge Chrysler Jeep,11/1/2013 15:50,,,200 Main St.,,Westbrook,ME,4092
Ford,Village Ford,4/1/2010 7:02,,,23535 Michigan Ave,,Dearborn,MI,48124
Toyota,LaFontaine Toyota,11/5/2010 7:18,,,2027 S Telegraph,,Dearborn,MI,48124
Toyota,Metro Imports Inc.,7/31/2008 16:36,21072,,5850 Stadium Dr.,,Kalamazoo,MI,49009
GM,Al Serra Auto Plaza,10/10/2005 8:41,142546,,G-6201 South Saginaw Street,,Grand Blanc,MI,48439
GM,Graff Chevrolet of Bay City,3/22/2007 9:44,115151,,3636 East Wilder Road,,Bay City,MI,48706
GM,Hank Graff Chevrolet,9/24/2008 8:09,115165,,800 N. State Rd.,,Davison,MI,48423
GM,LaFontaine Chevrolet,2/14/2006 11:11,212287,,7120 Dexter-Ann Arbor Road,,Dexter,MI,48130
GM,Serra Buick Pontiac GMC Cadillac,2/7/2008 7:52,221914,,12300 30 Mile Rd,,Washington,MI,48095
GM,Team One Chevrolet,1/15/2007 9:49,115141,,1616 Lansing Road,,Charlotte,MI,48813
GM,Tyler Automotive Inc.,7/17/2006 10:02,113390,,1810 S. 11th Street,,Niles,MI,49120
Mopar,Bill Marsh Motors,10/31/2013 15:10,,,1655 S. Garfield Ave.,,Traverse City,MI,49686
Mopar,Crown Chrysler Dodge Jeep,10/16/2013 16:53,,,1127 Central Ave,,Holland,MI,49423-7723
Mopar,Galeanas Van Dyke Dodge,10/23/2013 13:04,,,28400 Van Dyke Ave,,Warren,MI,48093
Mopar,Jim Riehls Chrysler Jeep,11/8/2013 10:39,,,32889 Van Dyke Ave,,Warren,MI,48093
Mopar,Jim Riehls Friendly Chrysler,10/31/2013 14:34,,,1515 S. Lapeer Rd.,,Lapeer,MI,48446
Mopar,K&M Northfield Dodge,10/31/2013 16:23,,,4100 Plainfield Ave NE,,Grand Rapids,MI,49525
Ford,Inver Grove Ford,9/23/2009 14:50,9179,,4725 S. Robert Trail,,Inver Grove Heights,MN,55077
Toyota,Lake Country Toyota,1/27/2010 11:01,,,7036 Lake Forest Rd,,Baxter,MN,56425
Toyota,Walser Toyota,9/14/2007 13:10,,,4401 American Blvd W,,Bloomington,MN,55437
GM,Miller Pontiac-Buick-GMC Inc.,1/18/2008 13:33,116247,,2900 2nd St South,,St. Cloud,MN,56301
GM,Stillwater Motor Company,9/11/2007 14:36,111589,,5900 Stillwater Blvd. N.,,Stillwater,MN,55082
GM,Viking Buick-GMC,9/17/2007 9:56,117439,,4646 Hwy 52 North,,Rochester,MN,55901
GM,Walser Buick Pontiac GMC,1/6/2005 14:29,118602,,4601 American Blvd,,Bloomington,MN,55437
Mopar,Bloomington Chrysler Jeep Dodge,1/21/2011 7:57,,,8000 PENN AVE SO,,BLOOMINGTON,MN,55431
Mopar,Dodge of Burnsville,11/11/2013 13:43,,,12101 35W South,,Burnsville,MN,55337
Mopar,John Hirsch's Cambridge Motors,5/29/2008 16:28,,,700 S. Garfield St.,,Cambridge,MN,55008
Mopar,Park Chrysler Jeep,1/3/2014 7:32,,,1408 W Hwy 13,,Burnsville,MN,55337
Mopar,Walser Chrysler Jeep Dodge,9/14/2007 13:11,,,314 Main Street,,Hopkins,MN,55343
Toyota,Joe Machens Toyota-Scion,9/25/2008 15:07,,,900 Bernadette Dr.,,Columbia,MO,65203
Toyota,Riley Toyota,2/18/2009 7:46,24060,,PO BOX 6937,,Jefferson City,MO,65102
GM,Cable Dahmer Chevrolet,7/13/2005 9:35,191988,,1834 S. Noland Road,,Independence,MO,64055
GM,City Chevrolet LLC,5/24/2007 14:34,231232,,555 West 103rd St,,Kansas City,MO,64114
GM,Elco Chevrolet,7/19/2006 13:38,111304,,15110 Manchester Road,,Ballwin,MO,63011
GM,Hendrick Buick GMC Cadillac,7/6/2007 10:55,118579,,1151 W 104th,,Kansas City,MO,64114
GM,John Londoff Chevrolet,7/12/2007 16:07,111331,,1375 Dunn Road,,Florissant,MO,63031
GM,Randy Reed Buick GMC,6/14/2007 9:19,118581,,9550 N.W. Prairie View Rd.,,Kansas City,MO,64153
GM,Van Chevrolet Cadillac,4/5/2006 9:24,111827,,100 NW Vivion Road,,Kansas City,MO,64118
GM,W-K Chevrolet Buick GMC Cadillac,8/30/2006 7:34,167363,,3310 W. Broadway Blvd.,,Sedalia,MO,65301
GM,Nelson Hall Chevrolet Cadillac,2/25/2009 9:40,132786,,1811 South Frontage Rd.,,Meridian,MS,39302
Toyota,City Toyota,2/20/2007 8:12,,,3900 10th Avenue South,,Great Falls,MT,59405
